ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflicts,hotspot_ratio,idle_ratio,normalized_cycles
7,3,14,131216,43264,4735,0.1956521739130435,0.021739130434782608,1.170067056641461
7,4,13,123920,35968,4735,0.233695652173913,0.021739130434782608,1.105007847053788
7,5,12,119632,31680,4735,0.24999999999999997,0.021739130434782608,1.0667712940505065
7,6,11,116432,28480,4735,0.27355072463768115,0.021739130434782608,1.0382365530032815
7,7,10,114960,27008,4735,0.28623188405797106,0.021739130434782608,1.025110572121558
7,8,9,113680,25728,4735,0.26268115942028986,0.021739130434782608,1.013696675702668
7,9,8,112592,24640,4737,0.18840579710144925,0.02536231884057971,1.0039948637466114
7,10,7,112656,24704,4739,0.22644927536231887,0.02898550724637681,1.004565558567556
7,11,6,114256,26304,4741,0.18478260869565216,0.03260869565217391,1.0188329290911684
7,12,5,117328,29376,4743,0.1865942028985507,0.03623188405797101,1.0462262804965046
7,13,4,121840,33888,4745,0.197463768115942,0.03985507246376811,1.0864602653730917
7,14,3,130088,42136,4748,0.18297101449275366,0.04528985507246376,1.1600085604223143
7,15,2,147200,59248,4751,0.15942028985507245,0.050724637681159424,1.3125980881723498
7,16,1,201136,113184,4754,0.14130434782608692,0.056159420289855065,1.793551148523327
8,1,15,194064,106112,4734,0.07246376811594198,0.019927536231884056,1.73048937080896
8,2,14,144976,57024,4734,0.1014492753623188,0.019927536231884056,1.2927664431445285
8,3,13,129680,41728,4734,0.14673913043478262,0.019927536231884056,1.156370380938793
8,4,12,122384,34432,4734,0.1666666666666666,0.019927536231884056,1.0913111713511199
8,5,11,118096,30144,4734,0.18297101449275358,0.019927536231884056,1.0530746183478386
8,6,10,114896,26944,4734,0.20652173913043478,0.019927536231884056,1.0245398773006136
8,7,9,113424,25472,4734,0.21920289855072464,0.019927536231884056,1.01141389641889
8,8,8,112144,24192,4734,0.20289855072463767,0.019927536231884056,1.0
8,9,7,112336,24384,4736,0.19021739130434784,0.023550724637681153,1.0017120844628336
8,10,6,113616,25664,4738,0.14855072463768115,0.02717391304347826,1.0131259808817235
8,11,5,116688,28736,4740,0.12862318840579706,0.03079710144927536,1.0405193322870594
8,12,4,120944,32992,4742,0.13224637681159418,0.03442028985507246,1.0784705378798687
8,13,3,129128,41176,4745,0.1177536231884058,0.03985507246376811,1.1514481381081467
8,14,2,146304,58352,4748,0.09420289855072461,0.04528985507246376,1.3046083606791268
8,15,1,200560,112608,4751,0.07608695652173907,0.050724637681159424,1.7884148951348267
